,DLSm01,DLSm02,DLSm03,DLSs01,DLSs02,DLSs03,DPSm01,DPSm02,DPSm03,DPSs202001,DPSs202002,DPSs202003,HLm01,HLm02,HLm03,HLs202001,HLs202002,HLs202003,SLTm01,SLTm02,SLTm03,SLTs202001,SLTs202002,SLTs202003,SLm01,SLm02,SLm03,SLs01,SLs02,SLs03,XSm01,XSm02,XSm03,XSs202001,XSs202002,XsSs202003
Zotu1,2,10,3,180,2,122,0,1,1,3419,6409,4794,0,1,0,4245,21,3708,442,203,192,23164,3300,1996,4,5,2,2,1,0,0,0,0,4,22,17
Zotu10,4,0,0,0,0,0,0,0,0,20,299,50,1,0,0,2,613,394,0,2,0,3,2171,329,0,0,0,0,0,0,0,0,0,58,397,85
Zotu100,260,187,1,0,33,0,2,6,0,0,0,2,487,247,1,31,31,399,0,36,8,9,0,0,4,2,55,1,70,0,5,8,79,0,0,0
Zotu10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,4,1
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0
Zotu10008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0
Zotu10009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1001,34,6,13,0,0,0,0,7,0,0,0,0,366,21,50,2,3,16,0,2,2,6,3,2,13,41,62,0,0,0,29,19,36,1,1,2
Zotu10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Zotu10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,4,0,0,0
Zotu10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Zotu10013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0
Zotu10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
Zotu10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0
Zotu10016,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Zotu10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1002,6,1,13,0,0,0,0,0,0,0,0,0,6,2,9,6,11,53,0,0,0,1,0,0,9,0,0,0,0,0,8,0,0,0,0,0
Zotu10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10025,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
Zotu10028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12
Zotu1003,0,0,0,0,2,0,9,4,4,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0
Zotu10034,29,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Zotu10035,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,1
Zotu10036,20,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zotu10037,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Zotu10038,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1
Zotu10039,2,0,0,1,0,6,0,0,1,2,1,0,2,0,0,1,0,2,0,0,0,0,1,1,0,2,6,4,0,0,1,0,0,1,4,7
Zotu1004,0,0,0,2,0,0,0,0,0,3,7,3,0,0,0,4,0,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10040,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Zotu10041,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu10042,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10043,2,0,2,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Zotu10044,7,21,5,0,0,1,2,0,3,0,0,0,4,2,0,0,0,1,1,12,12,0,0,0,8,2,9,0,0,1,8,9,2,0,0,0
Zotu10045,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Zotu10046,8,3,1,0,0,0,19,0,0,0,0,0,52,0,0,0,0,0,0,0,1,0,0,0,31,2,2,0,2,0,6,4,3,0,0,0
Zotu10047,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,2,0
Zotu10048,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1
Zotu10049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu1005,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Zotu10050,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0
Zotu10051,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10052,1,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4,2,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
Zotu10053,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,10,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
Zotu10054,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,1,1,0,0,0,0,4,5,0,0,0
Zotu10055,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0
Zotu10056,0,1,0,0,0,0,0,0,0,0,0,0,2,10,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,0,0
Zotu10057,1,2,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,7,0,0,0
Zotu10058,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,6,8,0,0,0,0,1,1,0,0,0
Zotu10059,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0
Zotu1006,0,0,0,0,0,0,0,2,0,1,17,4,0,0,0,33,6,24,0,5,1,25,2,0,0,0,0,0,2,0,0,0,0,0,30,9
Zotu10060,7,8,7,0,0,0,2,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,66,68,0,0,0,1,8,3,0,0,0
Zotu10061,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Zotu10062,0,0,4,0,0,0,0,0,0,0,0,0,8,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
Zotu10063,0,0,4,0,0,0,0,0,0,0,0,0,4,1,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Zotu10064,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,1,0,1
Zotu10065,0,1,11,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
Zotu10066,0,0,3,2,9,7,1,1,15,14,27,18,0,0,0,6,1,0,0,0,0,3,2,3,1,0,1,4,1,0,1,0,1,19,21,8
Zotu10067,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Zotu10069,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,5,6,1
