,DLSs01,DLSs02,DLSs03,DLSw202001,DLSw202002,DLSw202003,DPSs202001,DPSs202002,DPSs202003,DPSw202001,DPSw202002,DPSw202003,HLs202001,HLs202002,HLs202003,HLw202001,HLw202002,HLw202003,SLTs202001,SLTs202002,SLTs202003,SLTw202001,SLTw202002,SLTw202003,SLs01,SLs02,SLs03,SLw202001,SLw202002,SLw202003,XSs202001,XSs202002,XSw202001,XSw202002,XSw202003,XsSs202003
Zotu1,180,2,122,31053,28238,36454,3419,6409,4794,2296,3138,14,4245,21,3708,25,7085,11608,23164,3300,1996,32,20,3753,2,1,0,2535,2552,2335,4,22,1880,3005,12,17
Zotu10,0,0,0,2218,1074,338,20,299,50,1012,406,28,2,613,394,4980,28344,15251,3,2171,329,347,77,2,0,0,0,3906,4672,3532,58,397,1868,977,312,85
Zotu100,0,33,0,11,0,0,0,0,2,0,0,0,31,31,399,21,0,0,9,0,0,0,0,9,1,70,0,0,0,0,0,0,4,5,6,0
Zotu10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,1
Zotu10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0
Zotu10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0
Zotu10008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0
Zotu10009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
Zotu1001,0,0,0,1,0,0,0,0,0,0,0,0,2,3,16,0,0,0,6,3,2,0,0,5,0,0,0,0,0,0,1,1,4,2,1,2
Zotu10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Zotu10013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0
Zotu10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
Zotu10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2,0,0,0,0,0,0,0,0,0
Zotu10016,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Zotu10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1002,0,0,0,3,0,0,0,0,0,0,0,0,6,11,53,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,2,0
Zotu10028,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,0,0
Zotu10029,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,12
Zotu1003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,0,0,0
Zotu10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0
Zotu10035,0,0,0,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1
Zotu10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10038,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
Zotu10039,1,0,6,1,1,0,2,1,0,0,1,0,1,0,2,0,0,1,0,1,1,0,0,1,4,0,0,0,0,0,1,4,1,1,0,7
Zotu1004,2,0,0,20,12,23,3,7,3,1,3,0,4,0,3,0,3,2,2,1,0,0,0,4,0,0,0,4,2,2,0,0,1,0,0,0
Zotu10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu10041,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Zotu10042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10043,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10044,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu10045,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,4,0
Zotu10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Zotu10047,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
Zotu10048,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1
Zotu10049,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Zotu1005,0,0,0,4,0,0,2,0,0,0,1,3,0,0,0,0,0,4,2,0,0,4,0,1,0,1,0,7,2,5,1,0,0,0,1,0
Zotu10050,0,0,0,0,0,0,2,3,0,0,0,2,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0
Zotu10051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10056,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu1006,0,0,0,30,1,2,1,17,4,34,48,22,33,6,24,24,1,0,25,2,0,119,41,107,0,2,0,8,12,6,0,30,1,4,3,9
Zotu10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10064,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Zotu10065,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zotu10066,2,9,7,0,5,4,14,27,18,0,0,5,6,1,0,7,2,0,3,2,3,0,1,0,4,1,0,2,4,2,19,21,0,0,2,8
Zotu10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10069,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,5,6,0,0,0,1
Zotu1007,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215,100,0,0,0,0,0,0,0,0,0
Zotu10070,5,4,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0
Zotu10071,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,1,0,0,6,2,0,0,0,1
Zotu10072,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10073,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,3,0,0,0,6,0,0,0,1
Zotu10074,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
Zotu10075,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
